2022-05-23 16:13:10.726617  method: stauff19_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012935.pdf
2022-05-23 16:13:13.382909  method: stauff12_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012935.pdf
2022-05-23 16:15:49.946285  method: stauff19_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012934.pdf
2022-05-23 16:15:56.993161  method: stauff12_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012934.pdf
2022-05-23 16:19:16.416163  method: stauff19_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012934.pdf
2022-05-23 16:19:24.056793  method: stauff12_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012934.pdf
2022-05-23 16:20:40.403152  method: stauff19_get, event: C:/Users/alex1c/sources/spacySt/OCR/93022180.pdf
2022-05-23 16:20:42.559404  method: stauff12_get, event: C:/Users/alex1c/sources/spacySt/OCR/93022180.pdf
2022-05-23 16:29:41.843915  method: stauff19_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012939.pdf
2022-05-23 16:29:44.265825  method: stauff12_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012939.pdf
2022-05-23 16:31:02.564654  method: stauff19_get, event: C:/Users/alex1c/sources/spacySt/OCR/93022180.pdf
2022-05-23 16:31:05.095929  method: stauff12_get, event: C:/Users/alex1c/sources/spacySt/OCR/93022180.pdf
2022-05-24 12:01:21.037892  method: stauff19_get, event: C:/Users/alex1c/sources/spacySt/OCR/93022180.pdf
2022-05-24 12:01:23.986517  method: stauff12_get, event: C:/Users/alex1c/sources/spacySt/OCR/93022180.pdf
2022-05-24 12:15:26.847744  method: stauff19_get, event: C:/Users/alex1c/sources/spacySt/OCR/93022180.pdf
2022-05-24 12:15:29.582119  method: stauff12_get, event: C:/Users/alex1c/sources/spacySt/OCR/93022180.pdf
2022-05-24 12:56:45.476709  method: stauff19_get, event: C:/Users/alex1c/sources/spacySt/OCR/93022180.pdf
2022-05-24 12:56:48.320248  method: stauff12_get, event: C:/Users/alex1c/sources/spacySt/OCR/93022180.pdf
2022-05-24 14:31:19.095919  method: stauff19_get, event: C:/Users/alex1c/sources/spacySt/OCR/93022180.pdf
2022-05-24 14:31:21.845915  method: stauff12_get, event: C:/Users/alex1c/sources/spacySt/OCR/93022180.pdf
2022-05-24 15:32:27.703930  method: stauff19_get, event: C:/Users/alex1c/sources/spacySt/OCR/93022180.pdf
2022-05-24 15:32:29.797682  method: stauff12_get, event: C:/Users/alex1c/sources/spacySt/OCR/93022180.pdf
2022-05-24 15:41:38.993651  method: stauff19_get, event: C:/Users/alex1c/sources/spacySt/OCR/93022180.pdf
2022-05-24 15:41:41.806152  method: stauff12_get, event: C:/Users/alex1c/sources/spacySt/OCR/93022180.pdf
